Symbol,Citation,Gene Name,Identified by Phenotype,MaizeGDB Link,GenBank ID,Chromosome,Strand,B73 refgen2 Gene,Subgenome,Comments,Proofing Link,Local duplicates,Homeolog,Sorghum Ortholog,Setaria Ortholog,Rice Ortholog,Brachy Ortholog,Pan-grass panel Link,Gene Model IDed by MaizeSequence.org,UC-Berkeley vs. Maizesequence.org,Link to compare genes where our assignments differed,Analysis of disagreements between maizesequence.org and UC-Berkeley
rp1,34,resistance to Puccinia sorghi1,,http://www.maizegdb.org/cgi-bin/displaylocusrecord.cgi?id=12609,AF107293,chr10,-1,AC152495.1_FG002,1,5' and 3' UTR exons missed by maizesequence.org,http://genomevolution.org/r/25bk,AC152495.1_FG003||GRMZM2G003625||GRMZM2G005134||GRMZM2G061742||GRMZM2G069382||GRMZM2G083246||GRMZM2G083258||GRMZM2G165720||GRMZM5G833046,chr2:151520252-151985561,Sb08g002410,no synteny,no synteny,no synteny,http://genomevolution.org/r/262f,No Gene Identified by Maizesequence.org,NA,,
rs1,34,rough sheath1,Y,http://www.maizegdb.org/cgi-bin/displaylocusrecord.cgi?id=12616,L44133,chr7,1,GRMZM2G028041,1,Good,http://genomevolution.org/r/25ga,,GRMZM2G452178,Sb02g002200,PAC:18182870,Os07g03770,Bradi1g57610,http://genomevolution.org/r/26fl,GRMZM2G028041,Identical Assignment,,
abp1,33,auxin binding protein1,,http://www.maizegdb.org/cgi-bin/displaylocusrecord.cgi?id=12008,L08425,chr3,1,GRMZM2G116204,2,Good,http://genomevolution.org/r/25pc,,no synteny,Sb08g016760,PAC:18189448,too big a gap,Bradi4g06030,http://genomevolution.org/r/25pd,GRMZM2G116204,Identical Assignment,,
cat2,32,catalase2,,http://www.maizegdb.org/cgi-bin/displaylocusrecord.cgi?id=12109,X54819,chr1,-1,GRMZM2G090568,1,Good,http://genomevolution.org/r/25me,,too big a gap,Sb01g048280,PAC:18191261,Os03g03910,Bradi1g76330,http://genomevolution.org/r/25mf,GRMZM2G090568,Identical Assignment,,
ts2,32,tassel seed2,Y,http://www.maizegdb.org/cgi-bin/displaylocusrecord.cgi?id=12691,L20621,chr1,1,GRMZM2G455809,1,Good,http://genomevolution.org/r/25z5,,GRMZM2G308351,Sb01g038050,PAC:18190283,Os03g18740,Bradi1g64990,http://genomevolution.org/r/25z6,No Gene Identified by Maizesequence.org,NA,,
dek1,31,defective kernel1,Y,http://www.maizegdb.org/cgi-bin/displaylocusrecord.cgi?id=12148,AY061806,chr1,1,GRMZM2G321753,1,Good,http://genomevolution.org/r/25wd,,too big a gap,Sb01g037910,PAC:18194992,chr3:10491680-10834228,chr1:63751534-64108197,http://genomevolution.org/r/26if,GRMZM2G321753,Identical Assignment,,
lg3,31,liguleless3,Y,http://www.maizegdb.org/cgi-bin/displaylocusrecord.cgi?id=12388,AF100455,chr3,1,GRMZM2G087741,1,Good,http://genomevolution.org/r/25ly,,too big a gap,Sb03g012480,PAC:18178064,Os01g19694,Bradi2g11540,http://genomevolution.org/r/26gm,GRMZM2G087741,Identical Assignment,,
du1,30,dull endosperm1,Y,http://www.maizegdb.org/cgi-bin/displaylocusrecord.cgi?id=12197,AF023159,chr10,1,GRMZM2G141399,1,Good,http://genomevolution.org/r/25rn,,no synteny,Sb07g005400,PAC:18187605,Os08g09230,Bradi3g15030,http://genomevolution.org/r/26hm,No Gene Identified by Maizesequence.org,NA,,
a2,28,anthocyaninless2,Y,http://www.maizegdb.org/cgi-bin/displaylocusrecord.cgi?id=12006,X55314,chr5,1,GRMZM2G345717,1,Good,http://genomevolution.org/r/25x1,,chr4:240378719-241286377,Sb04g000260,PAC:18174388,chr2:0-600403,chr3:0-692326,http://genomevolution.org/r/26ij,No Gene Identified by Maizesequence.org,NA,,
oy1,28,oil yellow1,Y,http://www.maizegdb.org/cgi-bin/displaylocusrecord.cgi?id=12515,DQ084025,chr10,-1,GRMZM2G419806,1,Good,http://genomevolution.org/r/25yl,,chr3:141310763-141616522,Sb08g004300,PAC:18189357,chr12:3388067-4083733,chr4:45277053-45732054,http://genomevolution.org/r/26iv,GRMZM2G419806,Identical Assignment,,
d8,27,dwarf plant8,Y,http://www.maizegdb.org/cgi-bin/displaylocusrecord.cgi?id=12143,AY103865,chr1,1,GRMZM2G144744,1,Good,http://genomevolution.org/r/25rx,,GRMZM2G024973,Sb01g010660,PAC:18190750,Os03g49990,Bradi1g11090,http://genomevolution.org/r/25ry,No Gene Identified by Maizesequence.org,NA,,
glb1,27,globulin1,,http://www.maizegdb.org/cgi-bin/displaylocusrecord.cgi?id=12265,U28017,chr1,1,GRMZM2G067919,1,Good,http://genomevolution.org/r/25jk,,too big a gap,Sb01g012640,PAC:18193532,Os03g46100,Bradi1g13040,http://genomevolution.org/r/25jl,No Gene Identified by Maizesequence.org,NA,,
lc1,27,red leaf color1,,http://www.maizegdb.org/cgi-bin/displaylocusrecord.cgi?id=12371,M26227,chr10,1,"not in B73, see r1",2,Good|lc1,http://genomevolution.org/r/25zv,,no synteny,Sb06g025060,PAC:18202973,Os04g47059,chr5:20758637-21209681,http://genomevolution.org/r/26j2,No Gene Identified by Maizesequence.org,NA,,
lg1,27,liguleless1,Y,http://www.maizegdb.org/cgi-bin/displaylocusrecord.cgi?id=12386,AF451895,chr2,-1,GRMZM2G036297,1,Good|upstream sequence on wrong contig,http://genomevolution.org/r/25gw,,GRMZM2G058588,Sb06g031290,PAC:18205642,Os04g56170,Bradi5g24670,http://genomevolution.org/r/25gx,GRMZM2G036297,Identical Assignment,,
ps1,27,pink scutellum1,Y,http://www.maizegdb.org/cgi-bin/displaylocusrecord.cgi?id=12562,AY206862,chr5,-1,GRMZM5G849107,1,Good,http://genomevolution.org/r/260k,GRMZM2G403196,chr1:157736483-158666892,Sb04g006120,PAC:18174000,Os02g09750,Bradi3g06600,http://genomevolution.org/r/26j6,No Gene Identified by Maizesequence.org,NA,,
rf2,27,restorer of fertility2,Y,http://www.maizegdb.org/cgi-bin/displaylocusrecord.cgi?id=12595,U43082,chr9,1,GRMZM2G058675,1,Good,http://genomevolution.org/r/25is,,no synteny,Sb10g009790,too big a gap,Os06g15990,Bradi1g43770,http://genomevolution.org/r/25it,GRMZM2G058675,Identical Assignment,,
su2,27,sugary2,Y,http://www.maizegdb.org/cgi-bin/displaylocusrecord.cgi?id=12665,AY499410,chr6,1,GRMZM2G348551,2,5' UTR and upsteam sequence missing,http://genomevolution.org/r/25x3,,GRMZM2G105791,Sb10g008200,PAC:18197830,Os06g12450,Bradi1g45130,http://genomevolution.org/r/25x4,No Gene Identified by Maizesequence.org,NA,,
zpl2b,27,zein polypeptidesL2b,,http://www.maizegdb.org/cgi-bin/displaylocusrecord.cgi?id=12803,AF371270,chr4,1,GRMZM2G404459,1,Good,http://genomevolution.org/r/25yd,GRMZM2G018193||GRMZM2G053120||GRMZM2G059620||GRMZM2G353268||GRMZM2G353272||GRMZM2G489581||GRMZM2G514379||GRMZM2G514469||GRMZM2G514479||GRMZM2G514485||GRMZM2G518465||GRMZM2G545000||GRMZM2G586611,no synteny,too big a gap,too big a gap,chr11:22583954-23404386,chr4:13981643-14703223,http://genomevolution.org/r/26de,No Gene Identified by Maizesequence.org,NA,,
whp1,26,white pollen1,Y,http://www.maizegdb.org/cgi-bin/displaylocusrecord.cgi?id=12750,X60204,chr2,-1,GRMZM2G151227,2,Good,http://genomevolution.org/r/25sd,GRMZM2G027130||GRMZM5G818346,too big a gap,too big a gap,too big a gap,Os11g32540,Bradi4g17230,http://genomevolution.org/r/26ah,No Gene Identified by Maizesequence.org,NA,,
d3,25,dwarf plant3,Y,http://www.maizegdb.org/cgi-bin/displaylocusrecord.cgi?id=12141,U32579,chr9,1,GRMZM2G093195,1,Good,http://genomevolution.org/r/25mw,,too big a gap,Sb10g000920,chr10:125337-554559,Os06g02019,Bradi1g51780,http://genomevolution.org/r/26gs,No Gene Identified by Maizesequence.org,NA,,
mn1,25,miniature seed1,Y,http://www.maizegdb.org/cgi-bin/displaylocusrecord.cgi?id=12429,AF050631,chr2,1,GRMZM2G119689,1,Good|probably,http://genomevolution.org/r/25py,,GRMZM2G095725,too big a gap,PAC:18205174,Os04g33740,Bradi5g09440,http://genomevolution.org/r/25pz,No Gene Identified by Maizesequence.org,NA,,
hm1,24,Helminthosporium carbonum susceptibility1,,http://www.maizegdb.org/cgi-bin/displaylocusrecord.cgi?id=12327,L02540,chr1,1,GRMZM5G881887,1,Good,http://genomevolution.org/r/260w,,no synteny,Sb07g023130,too big a gap,too big a gap,too big a gap,http://genomevolution.org/r/26j9,GRMZM5G881887,Identical Assignment,,
mdh4,24,malate dehydrogenase4,,http://www.maizegdb.org/cgi-bin/displaylocusrecord.cgi?id=12416,AA051891,chr1,-1,GRMZM2G415359,1,Can't proof,http://genomevolution.org/r/25yj,,too big a gap,Sb01g019280,PAC:18196158,Os10g33800,Bradi3g28820,http://genomevolution.org/r/25yk,No Gene Identified by Maizesequence.org,NA,,
hrg1,23,hydroxyproline rich glycoprotein1,,http://www.maizegdb.org/cgi-bin/displaylocusrecord.cgi?id=12329,X63134,chr2,-1,GRMZM2G168651,1,Good,http://genomevolution.org/r/25ul,,too big a gap,Sb06g016310,chr6:19404984-19923515,Os04g34170,Bradi5g09790,http://genomevolution.org/r/26i5,No Gene Identified by Maizesequence.org,NA,,
ts6,23,tasselseed6,Y,http://www.maizegdb.org/cgi-bin/displaylocusrecord.cgi?id=12694,AF048900,chr1,1,GRMZM5G862109,1,Good,http://genomevolution.org/r/260q,GRMZM5G880027,chr5:2098222-2634044,Sb01g003400,PAC:18194463,Os03g60430,Bradi1g03880,http://genomevolution.org/r/26j8,No Gene Identified by Maizesequence.org,NA,,
dhn1,22,dehydrin1,,http://www.maizegdb.org/cgi-bin/displaylocusrecord.cgi?id=12580,X15290,chr6,-1,GRMZM2G079440,1,Good,http://genomevolution.org/r/25kk,,no synteny,Sb09g018420,chr9:13429273-14363327,chr5:17019836-17955366,chr2:26011100-27060633,http://genomevolution.org/r/26g9,GRMZM2G079440,Identical Assignment,,
lg2,22,liguleless2,Y,http://www.maizegdb.org/cgi-bin/displaylocusrecord.cgi?id=12387,AY180106,chr3,1,GRMZM2G060216,1,Good,http://genomevolution.org/r/25iy,,AC232238.2_FG004,Sb03g040530,PAC:18176817,Os01g64020,Bradi2g55570,http://genomevolution.org/r/25iz,GRMZM2G060216,Identical Assignment,,
zag1,22,Zea AGAMOUS homolog1,,http://www.maizegdb.org/cgi-bin/displaylocusrecord.cgi?id=51346,L18924,chr6,-1,GRMZM2G052890,1,Good,http://genomevolution.org/r/25i4,GRMZM2G052937,no synteny,Sb09g006360,PAC:18169585,Os05g11414,Bradi2g32910,http://genomevolution.org/r/25i5,GRMZM2G052890,Identical Assignment,,
gl8,21,glossy8,Y,http://www.maizegdb.org/cgi-bin/displaylocusrecord.cgi?id=12263,U89509,chr5,-1,AC205703.4_FG006,1,Good,http://genomevolution.org/r/25by,,GRMZM2G087323,Sb04g025020,PAC:18171373,Os02g38440,Bradi3g47840,http://genomevolution.org/r/25bz,No Gene Identified by Maizesequence.org,NA,,
gpc1,21,glyceraldehyde-3-phosphate dehydrogenase1,,http://www.maizegdb.org/cgi-bin/displaylocusrecord.cgi?id=12273,X15596,chr4,-1,GRMZM2G046804,2,Good,http://genomevolution.org/r/25hq,,GRMZM2G309356,Sb07g002220,PAC:18185953,Os08g03290,Bradi3g14120,http://genomevolution.org/r/25hr,No Gene Identified by Maizesequence.org,NA,,
hcf106,21,high chlorophyll fluorescence106,,http://www.maizegdb.org/cgi-bin/displaylocusrecord.cgi?id=12290,AF027808,chr2,1,GRMZM5G898735,1,Good,http://genomevolution.org/r/2610,,GRMZM2G151529,Sb06g014410,no synteny,chr4:19032798-19318750,chr5:11499220-11629016,http://genomevolution.org/r/26ja,GRMZM5G898735,Identical Assignment,,
cr4,20,crinkly4,Y,http://www.maizegdb.org/cgi-bin/displaylocusrecord.cgi?id=25017,U67422,chr10,1,GRMZM2G051637,1,Good,http://genomevolution.org/r/25i0,,chr3:231223020-231784398,Sb08g003290,no synteny,chr12:2558011-3036894,Bradi4g41920,http://genomevolution.org/r/26fw,GRMZM2G051637,Identical Assignment,,
gst1,20,glutathione-S-transferase1,,http://www.maizegdb.org/cgi-bin/displaylocusrecord.cgi?id=65345,X06754,chr8,1,GRMZM2G116273,2,Good,http://genomevolution.org/r/25pe,,too big a gap,Sb03g035420,PAC:18175642,Os01g55830,Bradi2g50760,http://genomevolution.org/r/25pf,GRMZM2G116273,Identical Assignment,,
id1,20,indeterminate growth1,Y,http://www.maizegdb.org/cgi-bin/displaylocusrecord.cgi?id=12337,AF058757,chr1,-1,GRMZM2G011357,1,Good,http://genomevolution.org/r/25dy,,chr5:33088726-34017985,Sb01g021480,PAC:18191878,Os10g28330,Bradi3g26910,http://genomevolution.org/r/26f7,No Gene Identified by Maizesequence.org,NA,,
mdh2,20,malate dehydrogenase2,,http://www.maizegdb.org/cgi-bin/displaylocusrecord.cgi?id=12414,AY103861,chr6,-1,GRMZM2G154595,1,Good,http://genomevolution.org/r/25st,,too big a gap,Sb09g029240,PAC:18167991,Os05g49880,Bradi2g15740,http://genomevolution.org/r/25su,No Gene Identified by Maizesequence.org,NA,,
ra1,20,ramosa1,Y,http://www.maizegdb.org/cgi-bin/displaylocusrecord.cgi?id=12577,AY957396,chr7,1,GRMZM2G003927,1,Good,http://genomevolution.org/r/25d4,,chr2:179755021-180489702,Sb02g024400,PAC:18181127,chr9:14417584-14918349,chr4:35561970-36022395,http://genomevolution.org/r/26f3,No Gene Identified by Maizesequence.org,NA,,
te1,20,terminal ear1,Y,http://www.maizegdb.org/cgi-bin/displaylocusrecord.cgi?id=12673,AF047852,chr3,-1,GRMZM2G085113,1,Good,http://genomevolution.org/r/25le,,chr8:163463084-163962661,Sb03g043230,PAC:18179083,Os01g68000,Bradi2g58100,http://genomevolution.org/r/26gh,GRMZM2G085113,Identical Assignment,,
nnr1,19,nitrate reductase(NADH)1,,http://www.maizegdb.org/cgi-bin/displaylocusrecord.cgi?id=25900,M77792,chr4,1,GRMZM2G568636,2,Good,http://genomevolution.org/r/25zl,,no synteny,Sb07g022750,PAC:18187549,Os08g36480,Bradi3g37940,http://genomevolution.org/r/25zm,No Gene Identified by Maizesequence.org,NA,,
ns1,19,narrow sheath1,Y,http://www.maizegdb.org/cgi-bin/displaylocusrecord.cgi?id=61077,AJ536578,chr2,1,GRMZM2G069028,2,Good,http://genomevolution.org/r/25jo,,no synteny,Sb05g003490,no synteny,no synteny,no synteny,http://genomevolution.org/r/25jp,No Gene Identified by Maizesequence.org,NA,,
sn1,19,scutellar node color1,,http://www.maizegdb.org/cgi-bin/displaylocusrecord.cgi?id=12643,X60706,chr10,1,"not in B73, see r1",2,Good|lc1,http://genomevolution.org/r/25zx,,no synteny,Sb06g025060,PAC:18202973,Os04g47059,chr5:20758637-21209681,http://genomevolution.org/r/26j2,No Gene Identified by Maizesequence.org,NA,,
afd1,18,absence of first division1,,http://www.maizegdb.org/cgi-bin/displaylocusrecord.cgi?id=12029,AY788900,chr6,1,GRMZM2G059037,1,Good,http://genomevolution.org/r/25iu,,too big a gap,Sb09g029640,PAC:18169550,Os05g50410,Bradi2g15000,http://genomevolution.org/r/25iv,No Gene Identified by Maizesequence.org,NA,,
chi1,18,chalcone flavanone isomerase1,,http://www.maizegdb.org/cgi-bin/displaylocusrecord.cgi?id=56908,Z22760,chr1,-1,GRMZM2G155329,1,Good,http://genomevolution.org/r/25t5,,GRMZM2G119186,Sb01g003330,PAC:18191923,Os03g60509,Bradi1g03840,http://genomevolution.org/r/25t6,No Gene Identified by Maizesequence.org,NA,,
